Concept code,Concept description,Vocabulary,Cancer
36548595,"Giant cell and spindle cell carcinoma of breast, NOS",ICDO3,Breast
36556824,"Large cell carcinoma, NOS, of breast, NOS",ICDO3,Breast
44499448,Paget disease and infiltrating duct carcinoma of breast of nipple,ICDO3,Breast
44502034,"Paget disease and infiltrating duct carcinoma of breast of breast, NOS",ICDO3,Breast
36529053,"Adenosquamous carcinoma of breast, NOS",ICDO3,Breast
36554108,"Squamous cell carcinoma, keratinizing, NOS, of breast, NOS",ICDO3,Breast
44500715,"Squamous cell carcinoma, NOS, of breast, NOS",ICDO3,Breast
44503001,"Spindle cell carcinoma, NOS, of breast, NOS",ICDO3,Breast
46270923,Carcinoma of central portion of breast,SNOMED,Breast
45768522,Triple-negative breast cancer,SNOMED,Breast
40492507,Infiltrating duct carcinoma of female breast,SNOMED,Breast
40486563,Carcinoma of female breast,SNOMED,Breast
40480651,Mucinous carcinoma of breast,SNOMED,Breast
40480215,Mixed ductal and lobular carcinoma of breast,SNOMED,Breast
37310457,Locally advanced breast cancer,SNOMED,Breast
37208329,Infiltrating ductal carcinoma of lower outer quadrant of right female breast,SNOMED,Breast
37208328,Infiltrating ductal carcinoma of lower inner quadrant of right female breast,SNOMED,Breast
37208326,Infiltrating ductal carcinoma of axillary tail of right female breast,SNOMED,Breast
37208325,Infiltrating ductal carcinoma of lower outer quadrant of left female breast,SNOMED,Breast
37208324,Infiltrating ductal carcinoma of lower inner quadrant of left female breast,SNOMED,Breast
37208322,Infiltrating ductal carcinoma of axillary tail of left female breast,SNOMED,Breast
37208048,Primary malignant neoplasm of right male breast,SNOMED,Breast
37208047,Primary malignant neoplasm of left male breast,SNOMED,Breast
37018660,Primary malignant inflammatory neoplasm of female breast,SNOMED,Breast
37017351,Invasive carcinoma of breast,SNOMED,Breast
37016439,Primary invasive malignant neoplasm of female breast,SNOMED,Breast
36717587,Primary solid papillary carcinoma with invasion of breast,SNOMED,Breast
36717260,Infiltrating ductal carcinoma of central portion of left female breast,SNOMED,Breast
36716497,Primary invasive pleomorphic lobular carcinoma of breast,SNOMED,Breast
36712934,Primary malignant neoplasm of bilateral female breasts,SNOMED,Breast
36712725,Infiltrating lobular carcinoma of right female breast,SNOMED,Breast
36712724,Infiltrating lobular carcinoma of left female breast,SNOMED,Breast
36712723,Infiltrating ductal carcinoma of upper outer quadrant of right female breast,SNOMED,Breast
36712722,Infiltrating ductal carcinoma of upper inner quadrant of right female breast,SNOMED,Breast
36712721,Infiltrating ductal carcinoma of central portion of right female breast,SNOMED,Breast
36712720,Infiltrating ductal carcinoma of upper outer quadrant of left female breast,SNOMED,Breast
36712719,Infiltrating ductal carcinoma of upper inner quadrant of left female breast,SNOMED,Breast
36684950,Metastatic collecting duct carcinoma,SNOMED,Breast
36684948,Metastatic human epidermal growth factor 2 positive carcinoma of breast,SNOMED,Breast
36684821,Primary malignant neoplasm of central portion of female right breast,SNOMED,Breast
36684820,Primary malignant neoplasm of axillary tail of right female breast,SNOMED,Breast
36684819,Primary malignant neoplasm of central portion of female left breast,SNOMED,Breast
36684818,Primary malignant neoplasm of female left breast,SNOMED,Breast
36684817,Primary malignant neoplasm of axillary tail of left female breast,SNOMED,Breast
35624616,"Germline BRCA-mutated, HER2-negative metastatic breast cancer",SNOMED,Breast
4330242,Human epidermal growth factor 2 negative carcinoma of breast,SNOMED,Breast
4246810,Primary malignant neoplasm of ectopic male breast tissue,SNOMED,Breast
4246036,Primary malignant neoplasm of ectopic female breast tissue,SNOMED,Breast
4237178,Infiltrating duct carcinoma of breast,SNOMED,Breast
4216891,Hormone receptor positive malignant neoplasm of breast,SNOMED,Breast
4188545,Primary malignant neoplasm of breast lower outer quadrant,SNOMED,Breast
4188544,Malignant neoplasm of breast lower inner quadrant,SNOMED,Breast
4187851,Primary malignant neoplasm of breast lower inner quadrant,SNOMED,Breast
4187850,Primary malignant neoplasm of breast upper outer quadrant,SNOMED,Breast
4187849,Malignant neoplasm of breast upper inner quadrant,SNOMED,Breast
4187848,Malignant neoplasm of breast lower outer quadrant,SNOMED,Breast
4162253,Primary malignant neoplasm of breast,SNOMED,Breast
4160780,Malignant neoplasm of breast upper outer quadrant,SNOMED,Breast
4158563,Primary malignant neoplasm of breast upper inner quadrant,SNOMED,Breast
4157448,Carcinoma of male breast,SNOMED,Breast
4157447,Malignant neoplasm of male breast,SNOMED,Breast
4157332,Malignant neoplasm of female breast,SNOMED,Breast
4155292,Malignant neoplasm of axillary tail of breast,SNOMED,Breast
4142116,HER2-positive carcinoma of breast,SNOMED,Breast
4117852,"Carcinoma breast - lower, outer quadrant",SNOMED,Breast
4117851,"Carcinoma of breast - upper, outer quadrant",SNOMED,Breast
4117850,"Carcinoma of breast - upper, inner quadrant",SNOMED,Breast
4116071,Carcinoma of breast,SNOMED,Breast
4113638,Carcinoma of breast - axillary tail,SNOMED,Breast
4113637,"Carcinoma of breast - lower, inner quadrant",SNOMED,Breast
4112854,Malignant phyllodes tumor of breast,SNOMED,Breast
4112853,Malignant tumor of breast,SNOMED,Breast
4112074,Inflammatory carcinoma of breast,SNOMED,Breast
4112073,Scirrhous carcinoma of breast,SNOMED,Breast
4110861,Familial cancer of breast,SNOMED,Breast
4095741,Malignant neoplasm of ectopic site of female breast,SNOMED,Breast
4095740,Malignant neoplasm of lower-inner quadrant of female breast,SNOMED,Breast
4092513,"Malignant neoplasm, overlapping lesion of breast",SNOMED,Breast
4092512,Malignant neoplasm of upper-inner quadrant of female breast,SNOMED,Breast
4092511,Malignant neoplasm of central part of female breast,SNOMED,Breast
4091471,Malignant neoplasm of ectopic site of male breast,SNOMED,Breast
4091469,Malignant neoplasm of nipple and areola of male breast,SNOMED,Breast
4091467,Malignant neoplasm of axillary tail of female breast,SNOMED,Breast
4091466,Malignant neoplasm of lower-outer quadrant of female breast,SNOMED,Breast
4091465,Malignant neoplasm of upper-outer quadrant of female breast,SNOMED,Breast
4091464,Malignant neoplasm of nipple and areola of female breast,SNOMED,Breast
4080865,Infiltrating lobular carcinoma of breast,SNOMED,Breast
4003684,Overlapping malignant neoplasm of male breast,SNOMED,Breast
3662037,Primary malignant neoplasm of breast with axillary lymph node invasion,SNOMED,Breast
3655521,Adenocarcinoma of breast,SNOMED,Breast
765123,Primary malignant neoplasm of female right breast,SNOMED,Breast
761170,Infiltrating duct carcinoma of bilateral female breasts,SNOMED,Breast
759933,Infiltrating duct carcinoma of right female breast,SNOMED,Breast
759932,Infiltrating duct carcinoma of left female breast,SNOMED,Breast
442127,Primary malignant neoplasm of nipple of female breast,SNOMED,Breast
442126,Primary malignant neoplasm of nipple of male breast,SNOMED,Breast
441515,Primary malignant neoplasm of lower outer quadrant of female breast,SNOMED,Breast
441513,Primary malignant neoplasm of axillary tail of breast,SNOMED,Breast
440956,Primary malignant neoplasm of upper inner quadrant of female breast,SNOMED,Breast
436353,Primary malignant neoplasm of upper outer quadrant of female breast,SNOMED,Breast
436050,Primary malignant neoplasm of areola of male breast,SNOMED,Breast
433148,Primary malignant neoplasm of areola of female breast,SNOMED,Breast
432845,Primary malignant neoplasm of central portion of female breast,SNOMED,Breast
432263,Primary malignant neoplasm of lower inner quadrant of female breast,SNOMED,Breast
137809,Primary malignant neoplasm of female breast,SNOMED,Breast
135489,Primary malignant neoplasm of male breast,SNOMED,Breast
133711,Overlapping malignant neoplasm of female breast,SNOMED,Breast
36403000,"Invasive micropapillary carcinoma of breast of breast, NOS",ICDO3,Breast
36518019,"Mucin-producing adenocarcinoma of breast, NOS",ICDO3,Breast
36518732,"Sebaceous carcinoma of breast, NOS",ICDO3,Breast
36518754,"Clear cell adenocarcinoma, NOS, of breast, NOS",ICDO3,Breast
36527204,"Adenocarcinoma with cartilaginous and osseous metaplasia of breast, NOS",ICDO3,Breast
36529963,"Medullary carcinoma with lymphoid stroma of breast, NOS",ICDO3,Breast
36542053,"Adenocarcinoma with spindle cell metaplasia of breast, NOS",ICDO3,Breast
36542321,"Trabecular adenocarcinoma of breast, NOS",ICDO3,Breast
36543982,"Glycogen-rich carcinoma of breast, NOS",ICDO3,Breast
36545241,"Oxyphilic adenocarcinoma of breast, NOS",ICDO3,Breast
36550405,"Adenocarcinoma with squamous metaplasia of breast, NOS",ICDO3,Breast
36564416,"Carcinoma simplex of breast, NOS",ICDO3,Breast
36568261,"Tumor cells, malignant of breast, NOS",ICDO3,Breast
44498941,"Papillary carcinoma, NOS, of breast, NOS",ICDO3,Breast
44499545,"Papillary adenocarcinoma, NOS, of breast, NOS",ICDO3,Breast
44499745,"Apocrine adenocarcinoma of breast, NOS",ICDO3,Breast
44499973,"Intraductal papillary adenocarcinoma with invasion of breast, NOS",ICDO3,Breast
44500508,"Infiltrating duct and lobular carcinoma of breast, NOS",ICDO3,Breast
44500592,"Cribriform carcinoma, NOS, of breast, NOS",ICDO3,Breast
44500882,"Lobular carcinoma, NOS, of nipple",ICDO3,Breast
44501022,"Atypical medullary carcinoma of breast, NOS",ICDO3,Breast
44501060,"Carcinoma, undifferentiated, NOS, of breast, NOS",ICDO3,Breast
44501094,"Acinar cell carcinoma of breast, NOS",ICDO3,Breast
44501274,"Signet ring cell carcinoma of breast, NOS",ICDO3,Breast
44501483,"Adenocarcinoma, NOS, of breast, NOS",ICDO3,Breast
44501655,"Encapsulated papillary carcinoma with invasion of breast, NOS",ICDO3,Breast
44501721,"Tubular adenocarcinoma of breast, NOS",ICDO3,Breast
44502032,"Secretory carcinoma of breast, NOS",ICDO3,Breast
44502281,"Adenocarcinoma with mixed subtypes of breast, NOS",ICDO3,Breast
44502548,"Infiltrating duct carcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
44502601,"Pleomorphic carcinoma of breast, NOS",ICDO3,Breast
44502956,"Medullary carcinoma, NOS, of breast, NOS",ICDO3,Breast
44505312,"Scirrhous adenocarcinoma of breast, NOS",ICDO3,Breast
44505314,"Intraductal carcinoma, noninfiltrating, NOS, of breast, NOS",ICDO3,Breast
2146483624,Adenocarcinoma in adenomatous polyp of breast,CRN,Breast
36402995,Invasive micropapillary carcinoma of breast of overlapping lesion of breast,ICDO3,Breast
36402998,Invasive micropapillary carcinoma of breast of lower-inner quadrant of breast,ICDO3,Breast
36403015,Invasive micropapillary carcinoma of breast of lower-outer quadrant of breast,ICDO3,Breast
36403018,Invasive micropapillary carcinoma of breast of upper-outer quadrant of breast,ICDO3,Breast
36403021,Invasive micropapillary carcinoma of breast of central portion of breast,ICDO3,Breast
36403045,Invasive micropapillary carcinoma of breast of upper-inner quadrant of breast,ICDO3,Breast
36517860,"Large cell carcinoma, NOS, of upper-inner quadrant of breast",ICDO3,Breast
36517865,"Squamous cell carcinoma, NOS, of upper-inner quadrant of breast",ICDO3,Breast
36520166,"Solid carcinoma, NOS, of lower-outer quadrant of breast",ICDO3,Breast
36520780,"Large cell carcinoma, NOS, of lower-outer quadrant of breast",ICDO3,Breast
36521809,"Clear cell adenocarcinoma, NOS, of lower-outer quadrant of breast",ICDO3,Breast
36522474,"Large cell carcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
36523128,Pleomorphic carcinoma of central portion of breast,ICDO3,Breast
36523241,"Medullary carcinoma, NOS, of upper-inner quadrant of breast",ICDO3,Breast
36526076,"Mucinous cystadenocarcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
36528584,Infiltrating ductular carcinoma of central portion of breast,ICDO3,Breast
36529026,"Large cell carcinoma, NOS, of central portion of breast",ICDO3,Breast
36529114,Mucin-producing adenocarcinoma of central portion of breast,ICDO3,Breast
36529278,"Medullary carcinoma, NOS, of lower-outer quadrant of breast",ICDO3,Breast
36529768,"Clear cell adenocarcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
36533162,Glycogen-rich carcinoma of central portion of breast,ICDO3,Breast
36537741,"Medullary carcinoma, NOS, of axillary tail of breast",ICDO3,Breast
36540590,"Clear cell adenocarcinoma, NOS, of upper-outer quadrant of breast",ICDO3,Breast
36543333,Paget disease and intraductal carcinoma of breast of overlapping lesion of breast,ICDO3,Breast
36543350,Paget disease and infiltrating duct carcinoma of breast of axillary tail of breast,ICDO3,Breast
36546168,"Medullary carcinoma, NOS, of central portion of breast",ICDO3,Breast
36547774,"Metaplastic carcinoma, NOS, of axillary tail of breast",ICDO3,Breast
36549616,Lipid-rich carcinoma of central portion of breast,ICDO3,Breast
36551819,Paget disease and intraductal carcinoma of breast of upper-inner quadrant of breast,ICDO3,Breast
36553621,"Squamous cell carcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
36553819,"Spindle cell carcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
36554022,Paget disease and intraductal carcinoma of breast of lower-outer quadrant of breast,ICDO3,Breast
36556030,Oxyphilic adenocarcinoma of central portion of breast,ICDO3,Breast
36556416,"Spindle cell carcinoma, NOS, of central portion of breast",ICDO3,Breast
36556518,"Medullary carcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
36557108,"Cribriform carcinoma, NOS, of lower-inner quadrant of breast",ICDO3,Breast
36559168,Secretory carcinoma of central portion of breast,ICDO3,Breast
36563027,"Squamous cell carcinoma, NOS, of central portion of breast",ICDO3,Breast
36564142,"Solid carcinoma, NOS, of breast, NOS",ICDO3,Breast
36564686,"Squamous cell carcinoma, NOS, of lower-outer quadrant of breast",ICDO3,Breast
36564967,Paget disease and infiltrating duct carcinoma of breast of overlapping lesion of breast,ICDO3,Breast
42511727,Invasive micropapillary carcinoma of breast of axillary tail of breast,ICDO3,Breast
42512849,Invasive micropapillary carcinoma of breast of nipple,ICDO3,Breast
